,day,month,year,hour,uuid,id_user,gclid,user_recurrent,url_landing,URL_base&landing,glid,iduser,uuid.1,camp,adg,device,sl,adv,rec,extra,conversiones,id_lead,lead_type,result,hour_conversion,day_conversion,month_conversion,year_conversion
5,6,9,2021,13:44:21.471,54bfdfe1-69ca-4e22-bf78-90923d1e9bf9,59257b75-5389-49e4-b1aa-5997ecfdc7f9,Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB,True,https://www.metropolis.com/es/cea/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB&idUser=59257b75-5389-49e4-b1aa-5997ecfdc7f9&uuid=54bfdfe1-69ca-4e22-bf78-90923d1e9bf9&camp=1648174978&adg=62589482065&device=m&sl=&adv=494939238432&rec=true&,https://www.metropolis.com/es/cea/,Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB,idUser=59257b75-5389-49e4-b1aa-5997ecfdc7f9,uuid=54bfdfe1-69ca-4e22-bf78-90923d1e9bf9,camp=1648174978,adg=62589482065,device=m,sl=,adv=494939238432,rec=true,,1,7959, CALL, No le interesa, 13:45,9,9,2021
21,6,9,2021,0:16:49.530,a2bb63f3-d0fe-4e36-be7e-36d052ea7515,215134e8-3170-43dc-8f08-f06438129a9c,EAIaIQobChMIhsr_gYnp8gIVxQyLCh04MwVEEAAYASAAEgKPB_D_BwE,False,https://www.metropolis.com/es/dep30/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkRwcdoHBfBc3hx-hbB3GSlK8QGMg-O8YxT6ozDNv6YKTXhUdz9qVEaAmtDEALw_wcB&idUser=88aba0c0-9347-4de1-a15f-0d68e7a35e61&uuid=379b54bf-49ad-4ca3-ab4e-6aa90c9f75b1&camp=1042446156&adg=63912889335&device=m&sl=&adv=528158594826&rec=false&,https://www.metropolis.com/es/dep30/,Cj0KCQjw1dGJBhD4ARIsANb6OdkRwcdoHBfBc3hx-hbB3GSlK8QGMg-O8YxT6ozDNv6YKTXhUdz9qVEaAmtDEALw_wcB,idUser=88aba0c0-9347-4de1-a15f-0d68e7a35e61,uuid=379b54bf-49ad-4ca3-ab4e-6aa90c9f75b1,camp=1042446156,adg=63912889335,device=m,sl=,adv=528158594826,rec=false,,1,7917, FORM, No le interesa, 10:54,8,9,2021
71,6,9,2021,11:56:55.657,e70ae10c-c91d-46f9-9c44-6a470c7995dc,8fb314e8-b0fe-4e17-b398-c0c5d2a988d0,Cj0KCQjw1dGJBhD4ARIsANb6Odmm0scxrJhSEv-sJOjunwPSMTkeF8CRIkq2-Oal8d7PtLGRV2GswSUaAqrkEALw_wcB,False,https://www.metropolis.com/es/clin200/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdlXep4lwZTNIehwsuribQd6HSwZdLJ1cRKgwnznc0T6BDgyEn7iUJIaAivcEALw_wcB&idUser=3b667a12-1f6d-49ae-96b3-296d0c56f124&uuid=d5fe6fbe-e339-48a8-96f7-0ae1e5deeffe&camp=13352768134&adg=118216881250&device=m&sl=&adv=525403074131&rec=true&,https://www.metropolis.com/es/clin200/,Cj0KCQjw1dGJBhD4ARIsANb6OdlXep4lwZTNIehwsuribQd6HSwZdLJ1cRKgwnznc0T6BDgyEn7iUJIaAivcEALw_wcB,idUser=3b667a12-1f6d-49ae-96b3-296d0c56f124,uuid=d5fe6fbe-e339-48a8-96f7-0ae1e5deeffe,camp=13352768134,adg=118216881250,device=m,sl=,adv=525403074131,rec=true,,1,7914, CALL, Ilocalizable, 11:56,8,9,2021
134,6,9,2021,4:5:37.360,aff513a7-6a32-4924-ab80-12f66801d115,cefd8f05-8dd2-4e82-869f-1ddc57a9a4c3,Cj0KCQjw1dGJBhD4ARIsANb6Odl8LjduiZVnMw6VFe8APDpqYb-F49xL0uWAOYu9-XkfMLO7X4uXDIsaAs8hEALw_wcB,False,https://www.metropolis.com/es/home/gclid=Cj0KCQjw1dGJBhD4ARIsANb6Odl8LjduiZVnMw6VFe8APDpqYb-F49xL0uWAOYu9-XkfMLO7X4uXDIsaAs8hEALw_wcB&idUser=cefd8f05-8dd2-4e82-869f-1ddc57a9a4c3&uuid=aff513a7-6a32-4924-ab80-12f66801d115&camp=732187328&adg=46724581628&device=m&sl=&adv=533655604703&rec=true&,https://www.metropolis.com/es/home/,Cj0KCQjw1dGJBhD4ARIsANb6Odl8LjduiZVnMw6VFe8APDpqYb-F49xL0uWAOYu9-XkfMLO7X4uXDIsaAs8hEALw_wcB,idUser=cefd8f05-8dd2-4e82-869f-1ddc57a9a4c3,uuid=aff513a7-6a32-4924-ab80-12f66801d115,camp=732187328,adg=46724581628,device=m,sl=,adv=533655604703,rec=true,,1,7900, FORM, Ilocalizable, 9:06,6,9,2021
371,6,9,2021,7:0:16.755,8c89b4be-197f-4664-b3d1-1f48d9b290c7,1d792022-78e4-4af9-9ea5-741117389e66,Cj0KCQjw-NaJBhDsARIsAAja6dM0p7PIAgtxJQ0hegy6Z-YC0GWRh-oUeTZH9RtM8hVAPjzotaZ8deIaAgD3EALw_wcB,True,https://www.metropolis.com/es/clin400/gclid=Cj0KCQjw-NaJBhDsARIsAAja6dM_duf63JruFts-sfInQceW92aOWx5LvpFo10u4WFeSQaWVuJruySIaAkiGEALw_wcB&idUser=4eeac809-22b7-47ce-8b34-0040db851894&uuid=90c3182e-b6e7-4a0b-b5cd-e81fbe70ec6c&camp=732401031&adg=46724585508&device=c&sl=&adv=383441982861&rec=true&,https://www.metropolis.com/es/clin400/,Cj0KCQjw-NaJBhDsARIsAAja6dM_duf63JruFts-sfInQceW92aOWx5LvpFo10u4WFeSQaWVuJruySIaAkiGEALw_wcB,idUser=4eeac809-22b7-47ce-8b34-0040db851894,uuid=90c3182e-b6e7-4a0b-b5cd-e81fbe70ec6c,camp=732401031,adg=46724585508,device=c,sl=,adv=383441982861,rec=true,,1,7851, CALL, Ilocalizable, 11:37,7,9,2021
854,6,9,2021,17:35:39.374,39e46fb6-ecd7-473c-96ff-25b92bd24529,fff88164-ce92-486c-a4d8-41c7b9779f24,EAIaIQobChMIquKwkIDq8gIVRLrVCh3JEwTmEAAYASAAEgLvofD_BwE,False,https://www.metropolis.com/es/gclid=EAIaIQobChMIp7bHooHq8gIVx-3tCcomfrAgsEAAYASAAEgLB5fD_BwE&idUser=33fc3b21-8755-417b-bf5c-805bae0da04e&uuid=b0b587bb-ec10-4dee-a73f-dc6a3127e870&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=false&,https://www.metropolis.com/es/,EAIaIQobChMIp7bHooHq8gIVx-3tCcomfrAgsEAAYASAAEgLB5fD_BwE,idUser=33fc3b21-8755-417b-bf5c-805bae0da04e,uuid=b0b587bb-ec10-4dee-a73f-dc6a3127e870,camp=732187328,adg=46724581628,device=c,sl=,adv=533655604703,rec=false,,1,7989, CALL, No le interesa, 17:36,10,9,2021
1794,6,9,2021,11:56:25.928,c4748bc6-eeec-4c94-ac60-2c5960748869,2f616f73-6d38-4041-95e9-911b90fbaee2,Cj0KCQjw-NaJBhDsARIsAAja6dM05lyJ5F1LMB-EMr_V51aEKMpXAlD_SNEOVjvwWuToBri9KI0lkrcaAm2JEALw_wcB,False,https://www.metropolis.com/es/gclid=EAIaIQobChMI2_vFzabq8gIVhPdRCh3W3wPDEAAYASAAEgL7f_D_BwE&idUser=85bd9b7c-2e66-4e3a-a739-3e64dbb489d7&uuid=0a3b7257-fdba-454c-bfce-cb192a792cd9&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=false&,https://www.metropolis.com/es/,EAIaIQobChMI2_vFzabq8gIVhPdRCh3W3wPDEAAYASAAEgL7f_D_BwE,idUser=85bd9b7c-2e66-4e3a-a739-3e64dbb489d7,uuid=0a3b7257-fdba-454c-bfce-cb192a792cd9,camp=732187328,adg=46724581628,device=c,sl=,adv=533655604703,rec=false,,1,7843, CALL, Ilocalizable, 17:58,7,9,2021
2233,6,9,2021,13:17:22.388,38773db8-13db-4d14-99bb-91ca406ed55b,e942cf56-2aa1-462b-b561-dd47b332e880,Cj0KCQjw-NaJBhDsARIsAAja6dMUhdr7DHMo9_U4K1dbVibfV2cnzPpB8v07kTOLCdT60qpR7QNuVwUaAgYyEALw_wcB,False,https://www.metropolis.com/es/gclid=EAIaIQobChMI8KzF6Ljq8gIV0bLVCh0W2g9NEAAYASAAEgLhG_D_BwE&idUser=8ac56841-ab15-4b9f-bef1-2cff45579c93&uuid=f9635161-011e-447a-bd37-17c0927385f2&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=true&,https://www.metropolis.com/es/,EAIaIQobChMI8KzF6Ljq8gIV0bLVCh0W2g9NEAAYASAAEgLhG_D_BwE,idUser=8ac56841-ab15-4b9f-bef1-2cff45579c93,uuid=f9635161-011e-447a-bd37-17c0927385f2,camp=732187328,adg=46724581628,device=c,sl=,adv=533655604703,rec=true,,1,7889, FORM, Positivo, 14:10,6,9,2021
2668,6,9,2021,14:29:27.778,ceb8bd78-c0fc-498d-905b-40d0e598500a,ebde412f-7daf-4349-b888-fbf1d9deb04b,Cj0KCQjw-NaJBhDsARIsAAja6dO2tNtdn_BQMQ3go9y6THdY7zfCJKXHrE-mxJ2SH2-01UHsTikDHRsaAkT9EALw_wcB,True,https://www.metropolis.com/es/clin400/gclid=EAIaIQobChMIyvTSiMnq8gIVFWHmCh20qAsKEAAYASAAEgJAMvD_BwE&idUser=26cf7db9-ea59-4c6e-b2af-133c57f27ea9&uuid=23267c6a-808b-4508-9af0-3203214092a2&camp=732401028&adg=46724585188&device=t&sl=&adv=477211734920&rec=true&,https://www.metropolis.com/es/clin400/,EAIaIQobChMIyvTSiMnq8gIVFWHmCh20qAsKEAAYASAAEgJAMvD_BwE,idUser=26cf7db9-ea59-4c6e-b2af-133c57f27ea9,uuid=23267c6a-808b-4508-9af0-3203214092a2,camp=732401028,adg=46724585188,device=t,sl=,adv=477211734920,rec=true,,1,7922, FORM, Positivo, 18:35,8,9,2021
3400,6,9,2021,16:20:0.787,89780e67-adc4-4177-a64a-987978451c4e,765f65aa-dea5-49e2-a0b8-656aa669b2fb,Cj0KCQjw-NaJBhDsARIsAAja6dOehjJTnm8rZs-IwWC5saYXy2RXBsq0HIbcCtqiWOVycgjq69WMcdIaAjysEALw_wcB,True,https://www.metropolis.com/es/cea-electrico/gclid=EAIaIQobChMI3_3noeLq8gIVDt5RCh3lYQfkEAAYASAAEgJvsPD_BwE&idUser=4cf2c70b-7bcd-4ede-9c18-33845ddb1ea6&uuid=7b0d6745-1c04-4028-b374-18cce530b394&camp=1646744098&adg=58527617970&device=m&sl=&adv=497204330125&rec=false&,https://www.metropolis.com/es/cea-electrico/,EAIaIQobChMI3_3noeLq8gIVDt5RCh3lYQfkEAAYASAAEgJvsPD_BwE,idUser=4cf2c70b-7bcd-4ede-9c18-33845ddb1ea6,uuid=7b0d6745-1c04-4028-b374-18cce530b394,camp=1646744098,adg=58527617970,device=m,sl=,adv=497204330125,rec=false,,1,7886, FORM, Positivo, 18:20,6,9,2021
3678,6,9,2021,17:7:36.217,e195aa62-d5ba-4081-bda8-90e67211fbc4,193f16ad-6dc0-401f-9593-06bfafb32264,Cj0KCQjw-NaJBhDsARIsAAja6dNCueDuJnpMRCegupZko2VJp1MDLsW0DYdJLOpAhikYr76FYQa1k38aAv54EALw_wcB,False,https://www.metropolis.com/es/clin200/gclid=Cj0KCQjw-NaJBhDsARIsAAja6dO_FdU3kNT04QJEjw5J-1dPPjQlLJto3Cy3hmdKzogtdt8LGDKiIVEaApzaEALw_wcB&idUser=fbb487c3-34f5-44e6-a134-9ab7b39fdd4c&uuid=e5452c56-c621-4e83-8a86-df12fc33e817&camp=732187355&adg=46724587148&device=m&sl=&adv=499223878287&rec=false&,https://www.metropolis.com/es/clin200/,Cj0KCQjw-NaJBhDsARIsAAja6dO_FdU3kNT04QJEjw5J-1dPPjQlLJto3Cy3hmdKzogtdt8LGDKiIVEaApzaEALw_wcB,idUser=fbb487c3-34f5-44e6-a134-9ab7b39fdd4c,uuid=e5452c56-c621-4e83-8a86-df12fc33e817,camp=732187355,adg=46724587148,device=m,sl=,adv=499223878287,rec=false,,1,7884, FORM, Ilocalizable, 19:11,6,9,2021
3882,6,9,2021,17:42:51.638,3b9610ce-da08-48e3-873a-e2af58176f61,2f59a840-26c4-4a41-b1b0-0c3cd3b669bf,EAIaIQobChMIsNjZj_Lq8gIVD6h3Ch2APQeBEAAYASAAEgLIL_D_BwE,False,https://www.metropolis.com/es/clin400/gclid=Cj0KCQjw-NaJBhDsARIsAAja6dOEYSeaFI2mCG6-4bGfGuWdglruKYRddGIufedQmBsaDrwmZb9JDOAaAhUIEALw_wcB&idUser=79900076-2783-4270-bf62-5b7674e91991&uuid=ed830f2f-8345-454f-9069-291bf83d1fb0&camp=732401028&adg=46724585188&device=m&sl=43115966789&adv=477211734920&rec=false&,https://www.metropolis.com/es/clin400/,Cj0KCQjw-NaJBhDsARIsAAja6dOEYSeaFI2mCG6-4bGfGuWdglruKYRddGIufedQmBsaDrwmZb9JDOAaAhUIEALw_wcB,idUser=79900076-2783-4270-bf62-5b7674e91991,uuid=ed830f2f-8345-454f-9069-291bf83d1fb0,camp=732401028,adg=46724585188,device=m,sl=43115966789,adv=477211734920,rec=false,,1,7881, FORM, Ilocalizable, 20:02,6,9,2021
4246,6,9,2021,20:01:18.455,427545ba-91a4-4e5d-8a69-895fefe2c0ef,fbee18ca-6970-4015-8892-814e664b3dab,Cj0KCQjw-NaJBhDsARIsAAja6dM1v0WCTK_OfE2RBzWB7rg0vC1_pKNdnpvsTxYTAYt_Shw56KBf46MaAn0SEALw_wcB,True,https://www.metropolis.com/es/clin400/gclid=EAIaIQobChMIoOaOo4Hr8gIVDd1RCh2UEAxPEAAYASAAEgLCgvD_BwE&idUser=fcfe7d4d-6289-4779-a2a6-1d2edae3b50e&uuid=12b1391f-4dce-4511-85f2-e735ca449a49&camp=732401028&adg=46724585188&device=m&sl=&adv=477211734920&rec=false&,https://www.metropolis.com/es/clin400/,EAIaIQobChMIoOaOo4Hr8gIVDd1RCh2UEAxPEAAYASAAEgLCgvD_BwE,idUser=fcfe7d4d-6289-4779-a2a6-1d2edae3b50e,uuid=12b1391f-4dce-4511-85f2-e735ca449a49,camp=732401028,adg=46724585188,device=m,sl=,adv=477211734920,rec=false,,1,7836, CALL, No le interesa, 20:02,6,9,2021
4909,6,9,2021,20:20:58.821,6ce96524-5d39-47c4-9345-d11e5eae5498,3f336d07-2513-401a-984a-f258c032d686,Cj0KCQjw1dGJBhD4ARIsANb6Odlnpclu0aWW8w1k4oOWd7g1IE11WEQ00IZ4fYuqMnbULg7mXXPdJmYaAhEJEALw_wcB,False,https://www.metropolis.com/es/tria/gclid=Cj0KCQjw-NaJBhDsARIsAAja6dNimSUGFYxf8ytfPM_7MQ64eyzcrfYSEql3F8CSduFIkcOppkRlXwsaArHSEALw_wcB&idUser=87ba62b2-fcee-45ec-9dca-b15d8c57c908&uuid=dd0085c7-6ee5-4026-a136-a3335a22882f&camp=1648648995&adg=62589383945&device=m&sl=&adv=481025151787&rec=false&,https://www.metropolis.com/es/tria/,Cj0KCQjw-NaJBhDsARIsAAja6dNimSUGFYxf8ytfPM_7MQ64eyzcrfYSEql3F8CSduFIkcOppkRlXwsaArHSEALw_wcB,idUser=87ba62b2-fcee-45ec-9dca-b15d8c57c908,uuid=dd0085c7-6ee5-4026-a136-a3335a22882f,camp=1648648995,adg=62589383945,device=m,sl=,adv=481025151787,rec=false,,1,7879, FORM, Positivo, 20:40,6,9,2021
4910,6,9,2021,20:21:0.489,6e376913-ed33-4284-83d5-a3f9eafcd0e6,7de715da-391f-42a8-bfa1-457e763545ca,Cj0KCQjw-NaJBhDsARIsAAja6dPATq-jpCB11TdwvrpGDJ1gldNEVxGsdv2i9_kFSH0mflhp8QtxIHkaAvpOEALw_wcB,False,https://www.metropolis.com/es/life/gclid=Cj0KCQjw-NaJBhDsARIsAAja6dOTnplJXR81RKeT-QqhcW2FU2K4KScZjqyTSQhPIXuxOCJ8ZQ9sScAaAq11EALw_wcB&idUser=8e3fb6ef-45bb-4330-b390-f4b5d92c5e3b&uuid=7e6fe44a-9a04-4226-a1a2-d0cc52b5cedf&camp=13352855428&adg=126733863807&device=m&sl=&adv=525407334167&rec=false&,https://www.metropolis.com/es/life/,Cj0KCQjw-NaJBhDsARIsAAja6dOTnplJXR81RKeT-QqhcW2FU2K4KScZjqyTSQhPIXuxOCJ8ZQ9sScAaAq11EALw_wcB,idUser=8e3fb6ef-45bb-4330-b390-f4b5d92c5e3b,uuid=7e6fe44a-9a04-4226-a1a2-d0cc52b5cedf,camp=13352855428,adg=126733863807,device=m,sl=,adv=525407334167,rec=false,,1,8003, FORM, Positivo, 12:27,10,9,2021
