Column1,Cardio,Resp,Hypo,Adm,year,month,mes_año,n_transferidos,ratio,ratio_cardio,ratio_resp,ratio_hypo,n_transferencias_año
1,1,0,0,413,1999,11,1999-11,1,0.002421307506053269,0.002421307506053269,0.0,0.0,2.0
2,1,0,0,443,1999,12,1999-12,1,0.002257336343115124,0.002257336343115124,0.0,0.0,
3,1,0,0,378,2000,1,2000-1,1,0.0026455026455026454,0.0026455026455026454,0.0,0.0,12.0
4,0,0,0,385,2000,2,2000-2,0,0.0,0.0,0.0,0.0,
5,1,0,0,388,2000,3,2000-3,1,0.002577319587628866,0.002577319587628866,0.0,0.0,
6,0,0,0,406,2000,4,2000-4,0,0.0,0.0,0.0,0.0,
7,3,0,0,409,2000,5,2000-5,3,0.007334963325183374,0.007334963325183374,0.0,0.0,
8,0,1,0,425,2000,6,2000-6,1,0.002352941176470588,0.0,0.002352941176470588,0.0,
9,0,1,0,453,2000,7,2000-7,1,0.002207505518763797,0.0,0.002207505518763797,0.0,
10,1,0,0,411,2000,8,2000-8,1,0.0024330900243309003,0.0024330900243309003,0.0,0.0,
11,1,0,1,407,2000,9,2000-9,2,0.004914004914004914,0.002457002457002457,0.0,0.002457002457002457,
12,0,0,0,417,2000,10,2000-10,0,0.0,0.0,0.0,0.0,
13,1,0,0,422,2000,11,2000-11,1,0.002369668246445498,0.002369668246445498,0.0,0.0,
14,1,0,0,426,2000,12,2000-12,1,0.002347417840375587,0.002347417840375587,0.0,0.0,
15,0,0,0,427,2001,1,2001-1,0,0.0,0.0,0.0,0.0,11.0
16,0,0,0,410,2001,2,2001-2,0,0.0,0.0,0.0,0.0,
17,1,0,0,450,2001,3,2001-3,1,0.0022222222222222222,0.0022222222222222222,0.0,0.0,
18,2,0,1,449,2001,4,2001-4,3,0.0066815144766146995,0.004454342984409799,0.0,0.0022271714922048997,
19,0,0,0,438,2001,5,2001-5,0,0.0,0.0,0.0,0.0,
20,0,0,0,446,2001,6,2001-6,0,0.0,0.0,0.0,0.0,
21,1,0,1,460,2001,7,2001-7,2,0.004347826086956522,0.002173913043478261,0.0,0.002173913043478261,
22,0,0,1,437,2001,8,2001-8,1,0.002288329519450801,0.0,0.0,0.002288329519450801,
23,0,0,0,475,2001,9,2001-9,0,0.0,0.0,0.0,0.0,
24,1,0,0,464,2001,10,2001-10,1,0.0021551724137931034,0.0021551724137931034,0.0,0.0,
25,1,1,0,467,2001,11,2001-11,2,0.004282655246252677,0.0021413276231263384,0.0021413276231263384,0.0,
26,0,1,0,499,2001,12,2001-12,1,0.002004008016032064,0.0,0.002004008016032064,0.0,
27,0,0,0,459,2002,1,2002-1,0,0.0,0.0,0.0,0.0,19.0
28,1,0,0,461,2002,2,2002-2,1,0.0021691973969631237,0.0021691973969631237,0.0,0.0,
29,1,0,0,488,2002,3,2002-3,1,0.0020491803278688526,0.0020491803278688526,0.0,0.0,
30,2,0,0,486,2002,4,2002-4,2,0.00411522633744856,0.00411522633744856,0.0,0.0,
31,2,0,0,515,2002,5,2002-5,2,0.003883495145631068,0.003883495145631068,0.0,0.0,
32,0,0,0,457,2002,6,2002-6,0,0.0,0.0,0.0,0.0,
33,0,1,0,558,2002,7,2002-7,1,0.0017921146953405018,0.0,0.0017921146953405018,0.0,
34,3,0,0,519,2002,8,2002-8,3,0.005780346820809248,0.005780346820809248,0.0,0.0,
35,2,0,0,509,2002,9,2002-9,2,0.003929273084479371,0.003929273084479371,0.0,0.0,
36,0,0,0,519,2002,10,2002-10,0,0.0,0.0,0.0,0.0,
37,2,1,0,544,2002,11,2002-11,3,0.0055147058823529415,0.003676470588235294,0.001838235294117647,0.0,
38,2,1,1,532,2002,12,2002-12,4,0.007518796992481203,0.0037593984962406013,0.0018796992481203006,0.0018796992481203006,
39,0,0,0,509,2003,1,2003-1,0,0.0,0.0,0.0,0.0,19.0
40,2,1,0,532,2003,2,2003-2,3,0.005639097744360902,0.0037593984962406013,0.0018796992481203006,0.0,
41,1,0,1,598,2003,3,2003-3,2,0.0033444816053511705,0.0016722408026755853,0.0,0.0016722408026755853,
42,1,0,0,495,2003,4,2003-4,1,0.00202020202020202,0.00202020202020202,0.0,0.0,
43,0,1,0,543,2003,5,2003-5,1,0.001841620626151013,0.0,0.001841620626151013,0.0,
44,0,0,0,555,2003,6,2003-6,0,0.0,0.0,0.0,0.0,
45,1,0,0,553,2003,7,2003-7,1,0.0018083182640144665,0.0018083182640144665,0.0,0.0,
46,3,1,0,532,2003,8,2003-8,4,0.007518796992481203,0.005639097744360902,0.0018796992481203006,0.0,
47,1,0,0,579,2003,9,2003-9,1,0.0017271157167530224,0.0017271157167530224,0.0,0.0,
48,2,0,0,633,2003,10,2003-10,2,0.00315955766192733,0.00315955766192733,0.0,0.0,
49,0,0,0,622,2003,11,2003-11,0,0.0,0.0,0.0,0.0,
50,0,4,0,644,2003,12,2003-12,4,0.006211180124223602,0.0,0.006211180124223602,0.0,
51,1,2,0,624,2004,1,2004-1,3,0.004807692307692308,0.0016025641025641025,0.003205128205128205,0.0,19.0
52,3,2,1,553,2004,2,2004-2,6,0.0108499095840868,0.0054249547920434,0.003616636528028933,0.0018083182640144665,
53,1,0,0,628,2004,3,2004-3,1,0.0015923566878980893,0.0015923566878980893,0.0,0.0,
54,1,0,0,671,2004,4,2004-4,1,0.0014903129657228018,0.0014903129657228018,0.0,0.0,
55,1,0,0,713,2004,5,2004-5,1,0.001402524544179523,0.001402524544179523,0.0,0.0,
56,0,0,0,684,2004,6,2004-6,0,0.0,0.0,0.0,0.0,
57,1,1,0,724,2004,7,2004-7,2,0.0027624309392265192,0.0013812154696132596,0.0013812154696132596,0.0,
58,1,0,0,655,2004,8,2004-8,1,0.0015267175572519084,0.0015267175572519084,0.0,0.0,
59,1,0,1,714,2004,9,2004-9,2,0.0028011204481792717,0.0014005602240896359,0.0,0.0014005602240896359,
60,0,0,0,664,2004,10,2004-10,0,0.0,0.0,0.0,0.0,
61,1,0,0,589,2004,11,2004-11,1,0.001697792869269949,0.001697792869269949,0.0,0.0,
62,1,0,0,567,2004,12,2004-12,1,0.001763668430335097,0.001763668430335097,0.0,0.0,
63,2,0,0,617,2005,1,2005-1,2,0.0032414910858995136,0.0032414910858995136,0.0,0.0,12.0
64,0,1,0,542,2005,2,2005-2,1,0.0018450184501845018,0.0,0.0018450184501845018,0.0,
65,1,0,0,565,2005,3,2005-3,1,0.0017699115044247787,0.0017699115044247787,0.0,0.0,
66,1,1,0,592,2005,4,2005-4,2,0.0033783783783783786,0.0016891891891891893,0.0016891891891891893,0.0,
67,1,0,0,635,2005,5,2005-5,1,0.0015748031496062992,0.0015748031496062992,0.0,0.0,
68,0,0,0,567,2005,6,2005-6,0,0.0,0.0,0.0,0.0,
69,1,0,0,598,2005,7,2005-7,1,0.0016722408026755853,0.0016722408026755853,0.0,0.0,
70,1,0,0,514,2005,8,2005-8,1,0.0019455252918287938,0.0019455252918287938,0.0,0.0,
71,2,0,0,551,2005,9,2005-9,2,0.003629764065335753,0.003629764065335753,0.0,0.0,
72,0,0,0,613,2005,10,2005-10,0,0.0,0.0,0.0,0.0,
73,0,0,0,499,2005,11,2005-11,0,0.0,0.0,0.0,0.0,
74,1,0,0,537,2005,12,2005-12,1,0.00186219739292365,0.00186219739292365,0.0,0.0,
75,2,0,0,533,2006,1,2006-1,2,0.00375234521575985,0.00375234521575985,0.0,0.0,17.0
76,1,1,0,490,2006,2,2006-2,2,0.004081632653061225,0.0020408163265306124,0.0020408163265306124,0.0,
77,0,1,0,567,2006,3,2006-3,1,0.001763668430335097,0.0,0.001763668430335097,0.0,
78,0,0,0,538,2006,4,2006-4,0,0.0,0.0,0.0,0.0,
79,0,1,0,506,2006,5,2006-5,1,0.001976284584980237,0.0,0.001976284584980237,0.0,
80,2,0,0,529,2006,6,2006-6,2,0.003780718336483932,0.003780718336483932,0.0,0.0,
81,0,0,0,548,2006,7,2006-7,0,0.0,0.0,0.0,0.0,
82,1,0,1,564,2006,8,2006-8,2,0.0035460992907801418,0.0017730496453900709,0.0,0.0017730496453900709,
83,3,0,0,522,2006,9,2006-9,3,0.005747126436781609,0.005747126436781609,0.0,0.0,
84,1,0,0,537,2006,10,2006-10,1,0.00186219739292365,0.00186219739292365,0.0,0.0,
85,2,0,0,559,2006,11,2006-11,2,0.0035778175313059034,0.0035778175313059034,0.0,0.0,
86,1,0,0,579,2006,12,2006-12,1,0.0017271157167530224,0.0017271157167530224,0.0,0.0,
87,0,0,0,560,2007,1,2007-1,0,0.0,0.0,0.0,0.0,7.0
88,0,0,0,493,2007,2,2007-2,0,0.0,0.0,0.0,0.0,
89,1,0,0,570,2007,3,2007-3,1,0.0017543859649122807,0.0017543859649122807,0.0,0.0,
90,1,0,0,519,2007,4,2007-4,1,0.0019267822736030828,0.0019267822736030828,0.0,0.0,
91,2,0,0,512,2007,5,2007-5,2,0.00390625,0.00390625,0.0,0.0,
92,0,0,0,539,2007,6,2007-6,0,0.0,0.0,0.0,0.0,
93,0,0,0,556,2007,7,2007-7,0,0.0,0.0,0.0,0.0,
94,0,0,0,532,2007,8,2007-8,0,0.0,0.0,0.0,0.0,
95,0,0,0,539,2007,9,2007-9,0,0.0,0.0,0.0,0.0,
96,1,0,0,593,2007,10,2007-10,1,0.0016863406408094434,0.0016863406408094434,0.0,0.0,
97,1,0,0,551,2007,11,2007-11,1,0.0018148820326678765,0.0018148820326678765,0.0,0.0,
98,1,0,0,559,2007,12,2007-12,1,0.0017889087656529517,0.0017889087656529517,0.0,0.0,
99,0,0,0,480,2008,1,2008-1,0,0.0,0.0,0.0,0.0,14.0
100,2,0,0,474,2008,2,2008-2,2,0.004219409282700422,0.004219409282700422,0.0,0.0,
101,0,0,0,523,2008,3,2008-3,0,0.0,0.0,0.0,0.0,
102,1,0,0,510,2008,4,2008-4,1,0.00196078431372549,0.00196078431372549,0.0,0.0,
103,0,2,0,503,2008,5,2008-5,2,0.003976143141153081,0.0,0.003976143141153081,0.0,
104,0,0,0,498,2008,6,2008-6,0,0.0,0.0,0.0,0.0,
105,1,0,0,532,2008,7,2008-7,1,0.0018796992481203006,0.0018796992481203006,0.0,0.0,
106,1,0,0,530,2008,8,2008-8,1,0.0018867924528301887,0.0018867924528301887,0.0,0.0,
107,2,0,0,550,2008,9,2008-9,2,0.0036363636363636364,0.0036363636363636364,0.0,0.0,
108,0,1,0,561,2008,10,2008-10,1,0.0017825311942959,0.0,0.0017825311942959,0.0,
109,3,1,0,550,2008,11,2008-11,4,0.007272727272727273,0.005454545454545455,0.0018181818181818182,0.0,
110,0,0,0,637,2008,12,2008-12,0,0.0,0.0,0.0,0.0,
111,2,0,1,603,2009,1,2009-1,3,0.004975124378109453,0.003316749585406302,0.0,0.001658374792703151,18.0
112,1,0,0,520,2009,2,2009-2,1,0.0019230769230769232,0.0019230769230769232,0.0,0.0,
113,2,0,1,624,2009,3,2009-3,3,0.004807692307692308,0.003205128205128205,0.0,0.0016025641025641025,
114,0,0,0,596,2009,4,2009-4,0,0.0,0.0,0.0,0.0,
115,2,0,0,656,2009,5,2009-5,2,0.003048780487804878,0.003048780487804878,0.0,0.0,
116,1,1,0,558,2009,6,2009-6,2,0.0035842293906810036,0.0017921146953405018,0.0017921146953405018,0.0,
117,2,0,0,566,2009,7,2009-7,2,0.0035335689045936395,0.0035335689045936395,0.0,0.0,
118,1,1,0,541,2009,8,2009-8,2,0.0036968576709796672,0.0018484288354898336,0.0018484288354898336,0.0,
119,0,0,0,579,2009,9,2009-9,0,0.0,0.0,0.0,0.0,
120,1,0,0,616,2009,10,2009-10,1,0.0016233766233766235,0.0016233766233766235,0.0,0.0,
121,0,1,0,537,2009,11,2009-11,1,0.00186219739292365,0.0,0.00186219739292365,0.0,
122,0,1,0,609,2009,12,2009-12,1,0.0016420361247947454,0.0,0.0016420361247947454,0.0,
123,1,0,0,572,2010,1,2010-1,1,0.0017482517482517483,0.0017482517482517483,0.0,0.0,12.0
124,0,1,0,515,2010,2,2010-2,1,0.001941747572815534,0.0,0.001941747572815534,0.0,
125,1,0,0,571,2010,3,2010-3,1,0.0017513134851138354,0.0017513134851138354,0.0,0.0,
126,0,0,0,540,2010,4,2010-4,0,0.0,0.0,0.0,0.0,
127,1,1,0,609,2010,5,2010-5,2,0.003284072249589491,0.0016420361247947454,0.0016420361247947454,0.0,
128,1,0,0,583,2010,6,2010-6,1,0.0017152658662092624,0.0017152658662092624,0.0,0.0,
129,1,0,1,575,2010,7,2010-7,2,0.0034782608695652175,0.0017391304347826088,0.0,0.0017391304347826088,
130,1,0,0,601,2010,8,2010-8,1,0.0016638935108153079,0.0016638935108153079,0.0,0.0,
131,0,0,0,553,2010,9,2010-9,0,0.0,0.0,0.0,0.0,
132,0,0,0,579,2010,10,2010-10,0,0.0,0.0,0.0,0.0,
133,2,1,0,604,2010,11,2010-11,3,0.004966887417218543,0.0033112582781456954,0.0016556291390728477,0.0,
134,0,0,0,605,2010,12,2010-12,0,0.0,0.0,0.0,0.0,
135,0,0,0,541,2011,1,2011-1,0,0.0,0.0,0.0,0.0,5.0
136,1,0,0,457,2011,2,2011-2,1,0.002188183807439825,0.002188183807439825,0.0,0.0,
137,3,0,0,560,2011,3,2011-3,3,0.005357142857142857,0.005357142857142857,0.0,0.0,
138,1,0,0,514,2011,4,2011-4,1,0.0019455252918287938,0.0019455252918287938,0.0,0.0,
139,0,0,0,373,2011,5,2011-5,0,0.0,0.0,0.0,0.0,
